id,code
1,AED
2,AFN
3,ALL
4,AMD
5,ANG
6,AOA
7,ARS
8,AUD
9,AWG
10,AZN
11,BAM
12,BBD
13,BDT
14,BGN
15,BHD
16,BIF
17,BMD
18,BND
19,BOB
20,BOV
21,BRL
22,BSD
23,BTN
24,BWP
25,BYR
26,BZD
27,CAD
28,CDF
29,CHE
30,CHF
31,CHW
32,CLF
33,CLP
34,CNY
35,COP
36,COU
37,CRC
38,CUC
39,CUP
40,CVE
41,CZK
42,DJF
43,DKK
44,DOP
45,DZD
46,EGP
47,ERN
48,ETB
49,EUR
50,FJD
51,FKP
52,GBP
53,GEL
54,GHS
55,GIP
56,GMD
57,GNF
58,GTQ
59,GYD
60,HKD
61,HNL
62,HRK
63,HTG
64,HUF
65,IDR
66,ILS
67,INR
68,IQD
69,IRR
70,ISK
71,JMD
72,JOD
73,JPY
74,KES
75,KGS
76,KHR
77,KMF
78,KPW
79,KRW
80,KWD
81,KYD
82,KZT
83,LAK
84,LBP
85,LKR
86,LRD
87,LSL
88,LYD
89,MAD
90,MDL
91,MGA
92,MKD
93,MMK
94,MNT
95,MOP
96,MRO
97,MUR
98,MVR
99,MWK
100,MXN
101,MXV
102,MYR
103,MZN
104,NAD
105,NGN
106,NIO
107,NOK
108,NPR
109,NZD
110,OMR
111,PAB
112,PEN
113,PGK
114,PHP
115,PKR
116,PLN
117,PYG
118,QAR
119,RON
120,RSD
121,RUB
122,RWF
123,SAR
124,SBD
125,SCR
126,SDG
127,SEK
128,SGD
129,SHP
130,SLL
131,SOS
132,SRD
133,SSP
134,STD
135,SVC
136,SYP
137,SZL
138,THB
139,TJS
140,TMT
141,TND
142,TOP
143,TRY
144,TTD
145,TWD
146,TZS
147,UAH
148,UGX
149,USD
150,USN
151,UYI
152,UYU
153,UZS
154,VEF
155,VND
156,VUV
157,WST
158,XAF
159,XAG
160,XAU
161,XBA
162,XBB
163,XBC
164,XBD
165,XCD
166,XDR
167,XOF
168,XPD
169,XPF
170,XPT
171,XSU
172,XTS
173,XUA
174,XXX
175,YER
176,ZAR
177,ZMW
178,ZWL
